time,aao,fase
2012-01-01,1.5833,positivo
2012-02-01,-0.2831,neutral
2012-03-01,0.2748,neutral
2012-04-01,0.6656,positivo
2012-05-01,0.1528,neutral
2012-06-01,-0.1971,neutral
2012-07-01,1.2593,positivo
2012-08-01,0.4888,neutral
2012-09-01,0.5624,positivo
2012-10-01,-0.4442,neutral
2012-11-01,-1.7009,negativo
2012-12-01,-0.7635,negativo
2013-01-01,0.071,neutral
2013-02-01,0.7156,positivo
2013-03-01,1.3748,positivo
2013-04-01,0.6106,positivo
2013-05-01,0.3596,neutral
2013-06-01,-0.2711,neutral
2013-07-01,0.9453,positivo
2013-08-01,-1.5609,negativo
2013-09-01,-1.6583,negativo
2013-10-01,-0.4576,neutral
2013-11-01,0.1888,neutral
2013-12-01,0.0613,neutral
2014-01-01,-0.6826,negativo
2014-02-01,0.3222,neutral
2014-03-01,0.467,neutral
2014-04-01,0.6137,positivo
2014-05-01,-0.4452,neutral
2014-06-01,0.8412,positivo
2014-07-01,0.247,neutral
2014-08-01,-0.0589,neutral
2014-09-01,-1.1189,negativo
2014-10-01,-0.039,neutral
2014-11-01,-0.5192,negativo
2014-12-01,1.3222,positivo
2015-01-01,0.6747,positivo
2015-02-01,1.2165,positivo
2015-03-01,0.7733,positivo
2015-04-01,1.0286,positivo
2015-05-01,0.4156,neutral
2015-06-01,0.7113,positivo
2015-07-01,1.678,positivo
2015-08-01,1.0618,positivo
2015-09-01,0.5424,positivo
2015-10-01,-0.1699,neutral
2015-11-01,0.6954,positivo
2015-12-01,-0.0589,neutral
2016-01-01,1.3918,positivo
2016-02-01,1.0933,positivo
2016-03-01,2.0383,positivo
2016-04-01,0.0969,neutral
2016-05-01,0.0124,neutral
2016-06-01,2.5655,positivo
2016-07-01,0.4066,neutral
2016-08-01,-0.7385,negativo
2016-09-01,2.3328,positivo
2016-10-01,-0.1772,neutral
2016-11-01,-1.5077,negativo
2016-12-01,-0.7112,negativo
2017-01-01,-0.9822,negativo
2017-02-01,-0.0149,neutral
2017-03-01,0.1561,neutral
2017-04-01,0.6192,positivo
2017-05-01,1.0528,positivo
2017-06-01,0.5464,positivo
2017-07-01,0.7284,positivo
2017-08-01,0.7641,positivo
2017-09-01,1.2961,positivo
2017-10-01,-0.5676,negativo
2017-11-01,0.7706,positivo
2017-12-01,0.9839,positivo
2018-01-01,1.2752,positivo
2018-02-01,1.0411,positivo
2018-03-01,0.1405,neutral
2018-04-01,-1.1662,negativo
2018-05-01,-0.0766,neutral
2018-06-01,-0.0119,neutral
2018-07-01,0.3768,neutral
2018-08-01,-0.3428,neutral
2018-09-01,1.4584,positivo
2018-10-01,0.5303,positivo
2018-11-01,0.9907,positivo
2018-12-01,0.9299,positivo
2019-01-01,0.6767,positivo
2019-02-01,-0.4996,neutral
2019-03-01,0.7446,positivo
2019-04-01,0.3358,neutral
2019-05-01,0.3346,neutral
2019-06-01,1.465,positivo
2019-07-01,-0.3897,neutral
2019-08-01,-1.0804,negativo
2019-09-01,0.563,positivo
2019-10-01,-0.9252,negativo
2019-11-01,-1.8398,negativo
2019-12-01,-1.3599,negativo
2020-01-01,-0.2312,neutral
2020-02-01,0.2746,neutral
2020-03-01,1.4264,positivo
2020-04-01,-0.4752,neutral
2020-05-01,0.5766,positivo
2020-06-01,1.0708,positivo
2020-07-01,-0.5464,negativo
2020-08-01,-0.7205,negativo
2020-09-01,0.1943,neutral
2020-10-01,1.2636,positivo
2020-11-01,0.8132,positivo
2020-12-01,1.4813,positivo
2021-01-01,1.0446,positivo
2021-02-01,1.3435,positivo
2021-03-01,0.0858,neutral
2021-04-01,0.8274,positivo
2021-05-01,0.3138,neutral
2021-06-01,1.1792,positivo
2021-07-01,-0.4595,neutral
2021-08-01,-0.2268,neutral
2021-09-01,1.3364,positivo
2021-10-01,0.4532,neutral
2021-11-01,1.3211,positivo
2021-12-01,2.1548,positivo
2022-01-01,0.8252,positivo
2022-02-01,0.6432,positivo
2022-03-01,0.5584,positivo
2022-04-01,0.5319,positivo
2022-05-01,0.0965,neutral
2022-06-01,-0.8713,negativo
2022-07-01,0.4467,neutral
2022-08-01,0.7313,positivo
2022-09-01,1.4685,positivo
2022-10-01,0.3303,neutral
2022-11-01,1.7134,positivo
2022-12-01,1.7004,positivo
2023-01-01,2.3037,positivo
2023-02-01,0.5536,positivo
2023-03-01,-0.2582,neutral
2023-04-01,-0.9207,negativo
2023-05-01,1.4518,positivo
2023-06-01,-0.4379,neutral
2023-07-01,-0.8183,negativo
2023-08-01,-0.0382,neutral
2023-09-01,-1.0504,negativo
2023-10-01,0.5352,positivo
